nom,variete,pays,temperature,cluster,url,floral,fruite,boise,terreux,epice,vegetal
Lapsang Souchong biologique,Thé noir,Chine,95,1,https://camellia-sinensis.com/fr/lapsang-souchong-biologique/2231,0,0,3,1,0,0
Lingtou Yuan Wei Dancong,Thé wulong,Chine,95,4,https://camellia-sinensis.com/fr/lingtou-yuan-wei-dancong/3873,1,2,1,0,0,1
Liu Bao Shi Shan Gu Shu 2016 (théiers de 100 ans),Thé pu er et vieilli,Chine,95,4,https://camellia-sinensis.com/fr/liu-bao-shi-shan-gu-shu-2016-theiers-de-100-ans/3895,0,2,1,1,0,0
Liu Bao Ye Sheng Gu Shu 2002,Thé pu er et vieilli,Chine,95,2,https://camellia-sinensis.com/fr/liu-bao-ye-sheng-gu-shu-2002/4047,0,0,1,3,0,1
Long Jing Shi Feng,Thé vert,Chine,80,3,https://camellia-sinensis.com/fr/long-jing-shi-feng/2305,1,0,2,0,0,2
Long Jing Zhejiang biologique,Thé vert,Chine,80,0,https://camellia-sinensis.com/fr/long-jing-zhejiang-biologique/2333,1,0,1,0,0,3
Lu An Gua Pian,Thé vert,Chine,85,0,https://camellia-sinensis.com/fr/lu-an-gua-pian/2306,0,1,1,0,0,3
Matcha Choan,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/matcha-choan/2309,1,1,0,0,0,3
Matcha Fuka Midori,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/matcha-fuka-midori/2331,0,1,0,0,0,3
Matcha Sendo,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/matcha-sendo/2310,0,0,1,0,0,3
Matcha Sora,Thé vert,Japon,75,0,https://camellia-sinensis.com/fr/matcha-sora/2311,0,0,0,0,0,3
Mi Lan Xiang Fengxi,Thé wulong,Chine,95,4,https://camellia-sinensis.com/fr/mi-lan-xiang-fengxi/2405,1,2,1,0,0,1
Mucha Tie Guan Yin (cuit),Thé wulong,Taiwan,95,1,https://camellia-sinensis.com/fr/mucha-tie-guan-yin-cuit/2414,0,0,3,0,1,0
Myanmar Pu Er 2012 Guogan,Thé pu er et vieilli,Birmanie,95,2,https://camellia-sinensis.com/fr/myanmar-pu-er-2012-guogan/4953,0,1,1,3,0,0
Nadeshiko biologique,Thé noir,Japon,95,1,https://camellia-sinensis.com/fr/nadeshiko-biologique/2241,0,1,3,1,0,0
Nan Mei bourgeons de théiers sauvages,Thé blanc,Chine,80,4,https://camellia-sinensis.com/fr/nan-mei-bourgeons-de-theiers-sauvages/2205,1,3,1,0,1,1
Népal 1st flush Jun Chiyabari biologique,Thé noir,Népal,95,3,https://camellia-sinensis.com/fr/nepal-1st-flush-jun-chiyabari-biologique/2232,2,0,1,0,0,1
Népal automnal Jun Chiyabari biologique,Thé noir,Népal,95,4,https://camellia-sinensis.com/fr/nepal-automnal-jun-chiyabari-biologique/2245,0,2,2,0,0,1
Pu Er Sheng 1983 Menghai,Thé pu er et vieilli,Chine,95,2,https://camellia-sinensis.com/fr/pu-er-sheng-1983-menghai/4450,0,0,2,2,1,0
